,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,ID
26257,2003-09-10,Israel,Malta,2,2,UEFA Euro qualification,Antalya,Turkey,True,2003-09-10-Israel-Malta
26259,2003-09-10,Latvia,Hungary,3,1,UEFA Euro qualification,Riga,Latvia,False,2003-09-10-Latvia-Hungary
26260,2003-09-10,Luxembourg,Bosnia and Herzegovina,0,1,UEFA Euro qualification,Luxembourg,Luxembourg,False,2003-09-10-Luxembourg-Bosnia and Herzegovina
26261,2003-09-10,Moldova,Belarus,2,1,UEFA Euro qualification,Tiraspol,Moldova,False,2003-09-10-Moldova-Belarus
26263,2003-09-10,Northern Ireland,Armenia,0,1,UEFA Euro qualification,Belfast,Northern Ireland,False,2003-09-10-Northern Ireland-Armenia
26266,2003-09-10,Paraguay,Uruguay,4,1,FIFA World Cup qualification,Asunción,Paraguay,False,2003-09-10-Paraguay-Uruguay
26267,2003-09-10,Poland,Sweden,0,2,UEFA Euro qualification,Chorzów,Poland,False,2003-09-10-Poland-Sweden
26268,2003-09-10,Russia,Switzerland,4,1,UEFA Euro qualification,Moscow,Russia,False,2003-09-10-Russia-Switzerland
26269,2003-09-10,Serbia,Italy,1,1,UEFA Euro qualification,Belgrade,Serbia and Montenegro,False,2003-09-10-Serbia-Italy
26270,2003-09-10,Slovakia,North Macedonia,1,1,UEFA Euro qualification,Žilina,Slovakia,False,2003-09-10-Slovakia-North Macedonia
26271,2003-09-10,Slovenia,France,0,2,UEFA Euro qualification,Ljubljana,Slovenia,False,2003-09-10-Slovenia-France
26272,2003-09-10,Spain,Ukraine,2,1,UEFA Euro qualification,Elche,Spain,False,2003-09-10-Spain-Ukraine
26274,2003-09-10,Wales,Finland,1,1,UEFA Euro qualification,Cardiff,Wales,False,2003-09-10-Wales-Finland
26284,2003-09-24,Algeria,Gabon,2,2,Friendly,Algiers,Algeria,False,2003-09-24-Algeria-Gabon
26289,2003-09-26,Algeria,Burkina Faso,0,0,Friendly,Algiers,Algeria,False,2003-09-26-Algeria-Burkina Faso
26318,2003-10-10,Guinea-Bissau,Mali,1,2,FIFA World Cup qualification,Bissau,Guinea-Bissau,False,2003-10-10-Guinea-Bissau-Mali
26321,2003-10-11,Armenia,Spain,0,4,UEFA Euro qualification,Yerevan,Armenia,False,2003-10-11-Armenia-Spain
26322,2003-10-11,Austria,Czech Republic,2,3,UEFA Euro qualification,Vienna,Austria,False,2003-10-11-Austria-Czech Republic
26323,2003-10-11,Belgium,Estonia,2,0,UEFA Euro qualification,Liège,Belgium,False,2003-10-11-Belgium-Estonia
26325,2003-10-11,Bosnia and Herzegovina,Denmark,1,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False,2003-10-11-Bosnia and Herzegovina-Denmark
26326,2003-10-11,Botswana,Lesotho,4,1,FIFA World Cup qualification,Gaborone,Botswana,False,2003-10-11-Botswana-Lesotho
26327,2003-10-11,Croatia,Bulgaria,1,0,UEFA Euro qualification,Zagreb,Croatia,False,2003-10-11-Croatia-Bulgaria
26328,2003-10-11,Cyprus,Slovenia,2,2,UEFA Euro qualification,Limassol,Cyprus,False,2003-10-11-Cyprus-Slovenia
26329,2003-10-11,Equatorial Guinea,Togo,1,0,FIFA World Cup qualification,Bata,Equatorial Guinea,False,2003-10-11-Equatorial Guinea-Togo
26331,2003-10-11,France,Israel,3,0,UEFA Euro qualification,Saint-Denis,France,False,2003-10-11-France-Israel
26332,2003-10-11,Germany,Iceland,3,0,UEFA Euro qualification,Hamburg,Germany,False,2003-10-11-Germany-Iceland
26333,2003-10-11,Greece,Northern Ireland,1,0,UEFA Euro qualification,Athens,Greece,False,2003-10-11-Greece-Northern Ireland
26334,2003-10-11,Hungary,Poland,1,2,UEFA Euro qualification,Budapest,Hungary,False,2003-10-11-Hungary-Poland
26335,2003-10-11,Italy,Azerbaijan,4,0,UEFA Euro qualification,Reggio di Calabria,Italy,False,2003-10-11-Italy-Azerbaijan
26336,2003-10-11,Liechtenstein,Slovakia,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False,2003-10-11-Liechtenstein-Slovakia
26337,2003-10-11,Madagascar,Benin,1,1,FIFA World Cup qualification,Antananarivo,Madagascar,False,2003-10-11-Madagascar-Benin
26338,2003-10-11,Netherlands,Moldova,5,0,UEFA Euro qualification,Eindhoven,Netherlands,False,2003-10-11-Netherlands-Moldova
26339,2003-10-11,Niger,Algeria,0,1,FIFA World Cup qualification,Niamey,Niger,False,2003-10-11-Niger-Algeria
26340,2003-10-11,Norway,Luxembourg,1,0,UEFA Euro qualification,Oslo,Norway,False,2003-10-11-Norway-Luxembourg
26343,2003-10-11,Russia,Georgia,3,1,UEFA Euro qualification,Moscow,Russia,False,2003-10-11-Russia-Georgia
26344,2003-10-11,São Tomé and Príncipe,Libya,0,1,FIFA World Cup qualification,São Tomé,São Tomé and Príncipe,False,2003-10-11-São Tomé and Príncipe-Libya
26345,2003-10-11,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland,False,2003-10-11-Scotland-Lithuania
26346,2003-10-11,Seychelles,Zambia,0,4,FIFA World Cup qualification,Victoria,Seychelles,False,2003-10-11-Seychelles-Zambia
26348,2003-10-11,Sweden,Latvia,0,1,UEFA Euro qualification,Solna,Sweden,False,2003-10-11-Sweden-Latvia
26349,2003-10-11,Switzerland,Republic of Ireland,2,0,UEFA Euro qualification,Basel,Switzerland,False,2003-10-11-Switzerland-Republic of Ireland
26353,2003-10-11,Uganda,Mauritius,3,0,FIFA World Cup qualification,Kampala,Uganda,False,2003-10-11-Uganda-Mauritius
26356,2003-10-11,Wales,Serbia,2,3,UEFA Euro qualification,Cardiff,Wales,False,2003-10-11-Wales-Serbia
26358,2003-10-11,Sudan,Eritrea,3,0,FIFA World Cup qualification,Khartoum,Sudan,False,2003-10-11-Sudan-Eritrea
26361,2003-10-12,Chad,Angola,3,1,FIFA World Cup qualification,N'Djamena,Chad,False,2003-10-12-Chad-Angola
26362,2003-10-12,Congo,Sierra Leone,1,0,FIFA World Cup qualification,Brazzaville,Congo,False,2003-10-12-Congo-Sierra Leone
26363,2003-10-12,Ethiopia,Malawi,1,3,FIFA World Cup qualification,Addis Ababa,Ethiopia,False,2003-10-12-Ethiopia-Malawi
26364,2003-10-12,Gambia,Liberia,2,0,FIFA World Cup qualification,Bakau,Gambia,False,2003-10-12-Gambia-Liberia
26365,2003-10-12,Guinea,Mozambique,1,0,FIFA World Cup qualification,Conakry,Guinea,False,2003-10-12-Guinea-Mozambique
26369,2003-10-12,Rwanda,Namibia,3,0,FIFA World Cup qualification,Kigali,Rwanda,False,2003-10-12-Rwanda-Namibia
26370,2003-10-12,Eswatini,Cape Verde,1,1,FIFA World Cup qualification,Lobamba,Eswatini,False,2003-10-12-Eswatini-Cape Verde
26371,2003-10-12,Zimbabwe,Mauritania,3,0,FIFA World Cup qualification,Harare,Zimbabwe,False,2003-10-12-Zimbabwe-Mauritania
26422,2003-11-14,Algeria,Niger,6,0,FIFA World Cup qualification,Algiers,Algeria,False,2003-11-14-Algeria-Niger
26423,2003-11-14,Mali,Guinea-Bissau,2,0,FIFA World Cup qualification,Bamako,Mali,False,2003-11-14-Mali-Guinea-Bissau
26424,2003-11-14,Mauritania,Zimbabwe,2,1,FIFA World Cup qualification,Nouakchott,Mauritania,False,2003-11-14-Mauritania-Zimbabwe
26427,2003-11-15,Argentina,Bolivia,3,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,2003-11-15-Argentina-Bolivia
26428,2003-11-15,Colombia,Venezuela,0,1,FIFA World Cup qualification,Barranquilla,Colombia,False,2003-11-15-Colombia-Venezuela
